t,success,mid,pmt,pg,sub_type,hr,bank
538,359,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 07,UPI
33,19,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 07,UPI
1025,639,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 13,UPI
343,226,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 01,UPI
480,332,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 06,UPI
369,200,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 04,UPI
722,470,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 12,UPI
369,258,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 10,UPI
273,162,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 13,UPI
28,21,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 10,UPI
45,29,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 04,UPI
24,12,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 04,UPI
16,8,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 11,UPI
462,303,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 08,UPI
365,223,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 07,UPI
59,36,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 01,UPI
25,7,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 10,UPI
53,32,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 07,UPI
97,74,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 00,UPI
27,16,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 11,UPI
17,8,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 08,UPI
29,25,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 09,UPI
20,7,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 03,UPI
41,29,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 09,UPI
11,9,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 02,UPI
80,51,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 10,UPI
19,12,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 12,UPI
90,54,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 08,UPI
33,19,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 10,UPI
25,8,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 09,UPI
25,17,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 06,UPI
39,27,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 05,UPI
36,26,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 04,UPI
35,21,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 05,UPI
27,21,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 02,UPI
20,11,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 10,UPI
1258,767,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 14,UPI
30,7,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 07,UPI
13,6,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 02,UPI
30,15,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 06,UPI
20,10,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 03,UPI
5,2,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 01,UPI
27,23,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 07,UPI
16,11,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 02,UPI
10,8,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 01,UPI
287,186,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 15,UPI
143,66,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 15,UPI
93,64,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 15,UPI
38,24,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 14,UPI
48,37,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 18,UPI
32,20,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 22,UPI
2,0,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 22,UPI
31,22,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 15,UPI
41,31,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 16,UPI
47,34,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 16,UPI
4,4,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 20,UPI
26,20,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 15,UPI
34,15,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 14,UPI
20,13,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 21,UPI
34,15,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 20,UPI
14,10,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 22,UPI
13,12,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 16,UPI
5,3,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 20,UPI
3,2,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 21,UPI
46,34,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 16,UPI
7,6,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 18,UPI
14,7,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 20,UPI
9,2,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 17,UPI
15,13,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 15,UPI
3,2,purplle.com,UPI,PAYU,UPI_PAY,2020-02-14 00,UPI
2,2,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 00,UPI
10,2,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 01,UPI
8,7,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 21,UPI
10,7,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 12,UPI
4,4,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 20,UPI
3,3,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 22,UPI
26,6,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 07,UPI
465,290,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-13 06,UPI
132,46,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-13 06,UPI
155,91,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-13 10,UPI
15,13,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 08,UPI
38,14,purplle.com,UPI,PAYU,UPI_PAY,2020-02-13 03,UPI
132,80,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-13 11,UPI
324,208,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-13 13,UPI
22,19,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 13,UPI
42,20,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 08,UPI
45,26,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 06,UPI
82,40,purplle.com,UPI,PAYU,UPI_PAY,2020-02-13 10,UPI
59,26,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-13 04,UPI
47,16,purplle.com,UPI,PAYU,UPI_PAY,2020-02-13 08,UPI
17,6,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 06,UPI
31,19,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 04,UPI
59,40,purplle.com,UPI,PAYU,UPI_PAY,2020-02-13 09,UPI
19,14,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 02,UPI
14,11,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 11,UPI
28,18,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 06,UPI
36,19,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 05,UPI
27,22,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 03,UPI
65,25,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-13 03,UPI
7,5,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 00,UPI
30,22,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 08,UPI
35,23,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 06,UPI
14,8,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 04,UPI
80,33,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-13 05,UPI
18,14,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 12,UPI
30,21,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 13,UPI
31,8,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 08,UPI
42,23,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 07,UPI
18,11,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 02,UPI
27,18,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 11,UPI
55,7,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 18,UPI
27,16,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 15,UPI
20,11,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 03,UPI
137,106,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-13 21,UPI
18,14,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 07,UPI
110,56,purplle.com,UPI,PAYU,UPI_PAY,2020-02-13 15,UPI
185,95,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-13 17,UPI
176,120,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-13 18,UPI
19,14,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 03,UPI
24,16,purplle.com,UPI,PAYU,UPI_PAY,2020-02-13 02,UPI
3,2,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 09,UPI
34,24,purplle.com,UPI,PAYU,UPI_PAY,2020-02-13 19,UPI
283,164,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-13 15,UPI
56,30,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 14,UPI
78,35,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 18,UPI
94,67,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-13 19,UPI
48,32,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 15,UPI
25,16,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-13 22,UPI
4,4,purplle.com,UPI,PAYU,UPI_PAY,2020-02-13 23,UPI
70,28,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 16,UPI
54,27,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 19,UPI
28,5,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 19,UPI
103,56,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-13 19,UPI
13,3,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 15,UPI
25,5,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 19,UPI
9,2,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 21,UPI
18,3,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 19,UPI
2,0,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 23,UPI
15,11,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-13 22,UPI
53,28,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 14,UPI
9,2,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 19,UPI
2,0,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 22,UPI
17,11,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 13,UPI
29,20,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 12,UPI
9,7,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 03,UPI
1,1,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 22,UPI
5,3,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 18,UPI
10,9,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 17,UPI
2,1,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 19,UPI
35,26,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 14,UPI
7,2,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 01,UPI
11,11,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 18,UPI
5,4,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 20,UPI
21,16,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 10,UPI
43,18,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 10,UPI
4,2,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 00,UPI
4,0,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 21,UPI
14,3,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 20,UPI
8,6,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 02,UPI
3,2,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 21,UPI
6,2,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 22,UPI
3,2,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 20,UPI
5,3,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 00,UPI
5,5,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 00,UPI
9,5,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 01,UPI
4,1,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 17,UPI
3,0,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 23,UPI
12,8,purplle.com,UPI,PAYU,UPI_PAY,2020-02-13 21,UPI
4,1,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 20,UPI
4,2,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 04,UPI
4,3,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 02,UPI
2,0,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 19,UPI
5,3,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 00,UPI
2,2,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 21,UPI
1,1,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 16,UPI
1,0,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 22,UPI
3,0,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 22,UPI
1,0,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 21,UPI
4,3,purplle.com,UPI,PAYU,UPI_PAY,2020-02-13 22,UPI
1,1,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-13 23,UPI
1,1,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 00,UPI
1,1,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 23,UPI
84,16,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 03,UPI
80,55,purplle.com,UPI,PAYU,UPI_PAY,2020-02-14 05,UPI
411,276,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-14 04,UPI
55,35,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 06,UPI
24,7,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 08,UPI
458,334,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-14 12,UPI
30,9,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 08,UPI
24,16,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-14 00,UPI
364,220,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-14 05,UPI
74,47,purplle.com,UPI,PAYU,UPI_PAY,2020-02-14 10,UPI
28,5,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 05,UPI
34,21,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 11,UPI
29,21,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 10,UPI
45,28,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 05,UPI
57,11,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 05,UPI
35,27,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 09,UPI
57,11,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 06,UPI
57,41,purplle.com,UPI,PAYU,UPI_PAY,2020-02-14 11,UPI
66,41,purplle.com,UPI,PAYU,UPI_PAY,2020-02-14 06,UPI
89,49,purplle.com,UPI,PAYU,UPI_PAY,2020-02-14 08,UPI
22,15,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 10,UPI
14,11,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 02,UPI
149,101,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-14 02,UPI
45,28,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 07,UPI
8,3,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 00,UPI
25,18,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 09,UPI
43,26,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 11,UPI
32,19,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 04,UPI
48,9,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 07,UPI
38,22,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 09,UPI
53,9,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 07,UPI
14,2,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 03,UPI
30,22,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 10,UPI
15,10,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 11,UPI
8,5,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 01,UPI
15,10,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 11,UPI
258,185,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-14 13,UPI
28,20,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 12,UPI
27,1,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 03,UPI
11,5,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 09,UPI
7,2,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 11,UPI
21,3,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 02,UPI
36,7,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 02,UPI
33,28,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 03,UPI
1357,918,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-14 14,UPI
44,18,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-14 18,UPI
109,64,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-14 19,UPI
7,4,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 16,UPI
16,10,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 08,UPI
68,42,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-14 20,UPI
7,1,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 00,UPI
51,35,purplle.com,UPI,PAYU,UPI_PAY,2020-02-14 18,UPI
11,1,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 00,UPI
26,16,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-14 00,UPI
191,126,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-14 19,UPI
53,42,purplle.com,UPI,PAYU,UPI_PAY,2020-02-14 13,UPI
57,33,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 18,UPI
33,23,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 14,UPI
25,18,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 18,UPI
30,20,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 14,UPI
6,5,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 20,UPI
33,26,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 14,UPI
27,14,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 14,UPI
86,51,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 15,UPI
64,36,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 13,UPI
22,13,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 17,UPI
75,52,purplle.com,UPI,PAYU,UPI_PAY,2020-02-14 15,UPI
19,11,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 20,UPI
51,30,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 14,UPI
56,22,purplle.com,UPI,PAYU,UPI_PAY,2020-02-14 19,UPI
18,11,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-14 23,UPI
29,18,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 14,UPI
17,12,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 20,UPI
2,1,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 22,UPI
8,6,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 20,UPI
41,29,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 13,UPI
52,10,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 07,UPI
9,2,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-14 02,UPI
496,379,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 03,UPI
550,365,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 11,UPI
1391,1086,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 02,UPI
14,12,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 01,UPI
361,246,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 09,UPI
333,197,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 08,UPI
274,183,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 09,UPI
85,34,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 11,UPI
266,166,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 05,UPI
30,20,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 09,UPI
163,102,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 02,UPI
23,23,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 10,UPI
26,11,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 09,UPI
15,10,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 04,UPI
23,12,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 07,UPI
37,25,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 08,UPI
29,19,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 08,UPI
261,183,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 03,UPI
21,16,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 13,UPI
90,55,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 07,UPI
16,11,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 05,UPI
32,10,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 13,UPI
26,23,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 11,UPI
74,47,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 13,UPI
36,21,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 04,UPI
37,27,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 11,UPI
43,32,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 12,UPI
43,26,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 13,UPI
9,7,drivezy,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 01,UPI
20,16,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 00,UPI
32,20,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 08,UPI
74,52,purplle.com,UPI,PAYU,UPI_PAY,2020-02-12 06,UPI
31,23,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 07,UPI
15,10,purplle.com,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 06,UPI
6,5,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 01,UPI
13,8,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 03,UPI
13,10,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 03,UPI
62,19,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 14,UPI
26,12,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 12,UPI
33,27,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 10,UPI
35,31,medlife_prod,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 02,UPI
3,1,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 01,UPI
27,16,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 23,UPI
54,39,fanfight,UPI,PAYTM_UPI,UPI_PAY,2020-02-12 23,UPI
14,9,fanfight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 05,UPI
19,15,pharmeasytech,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 03,UPI
17,16,urbanclap,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 13,UPI
31,19,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 11,UPI
18,11,countrydelight,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 04,UPI
48,29,zivame,UPI,PAYTM_V2,UPI_COLLECT,2020-02-12 17,UPI
75,42,urbanclap,UPI,PAYTM_V2,UPI_PAY,2020-02-12 19,UPI
